ID,Country_acronym,Country_name
2,ACCTS - Jordan,Arab Center for Consulting and Training Services
3,ACF - Jordan,Action Contre la Faim
7,ADRA - Jordan,Adventist Development and Relief Agency
10,AHSI - Jordan,Al Hussein Social Institute
14,APS,Alianza por la Solidaridad- Jordan
15,ARDD-LA - Jordan,ARDD-Legal Aid Jordan
16,AVSI - Jordan,AVSI Foundation
18,AWO,Arab Women Organization of Jordan
20,CARE - Jordan,CARE International Jordan
24,CHF - Jordan,Cooperative Housing Foundation International
26,Children without borders-KnK,Children without borders (Kokyyo naki Kodomotachi)
31,CVT - Jordan,Center for victims of torture
36,DRC - Jordan,Danish Refugee Council - Jordan
42,FCA - Jordan,Finn Church Aid
43,FPSC - Jordan,Fundacion Promocion Social de la Cultura
50,HI - Jordan,Handicap International Jordan
54,ICMC - Jordan,International Catholic Migration Commission - Jordan
57,IFH/NHF - Jordan,Institute for Family Health/Noor Al Hussein Foundation
58,IFRC - Jordan,International Federation of Red Cross and Red Crescent
61,IMC - Jordan,International Medical Corps
64,INTERSOS - Jordan,INTERSOS Jordan
66,IOCC - Jordan,International Orthodox Christian Charities - Jordan
70,IOM - Jordan,International Organization for Migration - Jordan
76,IRC - Jordan,International Rescue Committee - Jordan
79,IRD - Jordan,International Relief & Development
83,IRW - Jordan,Islamic Relief Worldwide
85,JEN,Japan Emergency NGO
86,JHAS - Jordan,Jordan Health Aid Society
87,JHCO - Jordan,Jordan Hashemite charity organization
89,JRF - Jordan,Jordan River Foundation
90,JRS - Jordan,Jesuit Refugee Service
95,LWF - Jordan,Lutheran World Federation - World Service - Jordan
97,Madrasati,Madrasati Initiative
98,MC - Jordan,Mercy Corps
100,MdM - Jordan,Médecins du  Monde
102,MEDAIR,MEDAIR
107,MoL - Jordan,Ministry of Labour- Jordan
114,NHF - Jordan,Noor Al Hussein Foundation
117,NRC - Jordan,Norwegian Refugee Council - Jordan
121,OPM,Operation Mercy - Jordan
122,Oxfam - Jordan,Oxfam GB
127,PU-AMI - Jordan,Première Urgence - Aide Médicale Internationale
130,QRC - Jordan,Qatar Red Crescent - Jordan
133,Questscope - Jordan,Questscope for Social Development in the Middle East
147,SAVE - Jordan,Save the Children Jordan
151,SDC - Jordan,Swiss Agency for Development and Cooperation SDC
159,TdH - It,Terre des Hommes Italia
160,TdH - Jordan,Terre Des Hommes
161,TdH – It - Jordan,Terre des Hommes Italia
163,THW - Jordan,German Federal Agency for Technical Relief
173,UNESCO - Jordan,"United Nations Educational, Scientific and Cultural Organization"
176,UNFPA - Jordan,United Nations Population Fund - Jordan
180,UNHCR - Jordan,United Nations High Commissioner for Refugees - Jordan
184,UNICEF - Jordan,United Nations Children's Fund - Jordan
186,UNICEF MENA Regional Office - Jordan,United Nations Children's Fund MENA Regional Office Jordan
188,UNOPS,UNOPS
191,UNWOMEN - Jordan,UN Women Arab States SRO - Jordan
199,WFP - Jordan,World Food Programme - Jordan
203,WHO - Jordan,World Health Organization
206,WVI,World Vision International
209,ZENID - Jordan,The Queen Zein AL Sharaf Institute For Development
Grand Total,,
